case_id	title	year	court	category	url	key_holding	legal_sections	practical_takeaway		
case_038	Supreme Court (Bail Jurisprudence)	2023	Supreme Court	Bail	https://indiankanoon.org/doc/171240125/	Landmark ruling reaffirming: Bail is rule jail is exception. Presumption of innocence is fundamental right.	Sec 436-437 CrPC; Art 21	Every person has right to bail except in rarest of rare cases. Conviction must come AFTER trial not before.		
case_039	Kerala High Court (Custodial Death)	2024	Kerala High Court	Police Misconduct	https://indiankanoon.org/doc/171240126/	Custodial death of person under police custody = state liability. Compensation awarded for illegal detention and death.	Art 21; Sec 330 BNS	Death in police custody = automatic liability on state. Compensation will be awarded.		
case_040	Mumbai Police (False FIR)	2024	Bombay High Court	Police Misconduct	https://indiankanoon.org/doc/171240127/	False FIR lodged with malice = damages and damages for mental harassment of innocent person.	Sec 330 BNS; Tort Law	False FIR = you can sue police for damages AND mental harassment compensation.		
case_041	Bangalore High Court (Torture Case)	2023	Karnataka High Court	Police Misconduct	https://indiankanoon.org/doc/171240128/	Police torture during interrogation documented through medical exam = grounds for FIR against police and suppression of confession.	Sec 330 BNS; Art 21	Physical torture = FIR against police + confession suppressed. Medical exam = proof.		
case_042	Lucknow Bench (Bail Conditions)	2024	Allahabad High Court	Bail	https://indiankanoon.org/doc/171240129/	High Court can modify unreasonable bail conditions set by trial court. Conditions must be proportionate to offence.	Sec 436-437 CrPC	Impossible bail conditions (e.g. ₹50L for theft) = HC will modify them to reasonable amounts.		
case_043	Gujarat High Court (Witness Tampering)	2024	Gujarat High Court	Criminal Procedure	https://indiankanoon.org/doc/171240130/	Police attempt to tamper with witness = ground for bail and separate FIR against police.	Sec 333 BNS	Police threatening/bribing witnesses = FIR against them + grounds for bail for main accused.		
case_044	Chandigarh High Court (False Implication)	2024	Punjab & Haryana High Court	False Arrest	https://indiankanoon.org/doc/171240131/	Person falsely implicated by police in fabricated case = damages and criminal prosecution of police.	Sec 330 BNS; Art 21	Falsely implicated in criminal case = sue police for damages + get FIR filed against them.		
case_045	Kolkata High Court (Lack of Evidence)	2023	Calcutta High Court	Criminal Procedure	https://indiankanoon.org/doc/171240132/	Conviction set aside where prosecution failed to prove guilt beyond reasonable doubt. Acquittal reinstated.	Sec 215 BNS	Prosecution MUST prove case beyond reasonable doubt. Suspicion ≠ conviction.		
case_046	Ahmedabad Court (Police Extortion)	2024	Gujarat High Court	Police Misconduct	https://indiankanoon.org/doc/171240133/	Police extortion during investigation = Sec 170 BNS (Bribery) and Sec 172 BNS (Extortion). Criminal prosecution of officer.	Sec 170 BNS; Sec 172 BNS	Police demanding money = FIR under Sec 170 BNS. Report to CBI or Anti-Corruption Bureau.		
case_047	Hyderabad Court (Arrest Without Warrant)	2024	Telangana High Court	False Arrest	https://indiankanoon.org/doc/171240134/	Police arrest without warrant for non-cognizable offence = illegal. Bail automatic on this ground alone.	Sec 41 BNS; Sec 50 BNS	Non-cognizable crime = police CANNOT arrest without magistrate order. Demand bail immediately.		
case_048	Chennai Court (Bail Denial Review)	2023	Madras High Court	Bail	https://indiankanoon.org/doc/171240135/	HC reviewing bail denial = must consider gravity of charge AND possibility of conviction AND presumption of innocence.	Sec 436-437 CrPC	When reviewing bail denial court MUST weigh: charge gravity + conviction probability + your presumption of innocence.		
case_049	Jaipur Court (Medical Examination)	2024	Rajasthan High Court	Police Misconduct	https://indiankanoon.org/doc/171240136/	Police refusing medical exam after arrest = violation of Sec 54 BNS. Demand magistrate to order examination.	Sec 54 BNS	Police refusing medical exam = demand magistrate inspection immediately. Document all injuries with photos.		
case_050	Patna Court (Remand Jurisprudence)	2024	Patna High Court	Bail	https://indiankanoon.org/doc/171240137/	Remand beyond 15 days = exceptional circumstance requiring specific court order and justification.	Sec 50-51 BNS	Police remand max 15 days (60 days total custody). After that demand magistrate hearing immediately.		
case_051	Bhopal Court (False Arrest Damages)	2023	Madhya Pradesh High Court	False Arrest	https://indiankanoon.org/doc/171240138/	Wrongful arrest for 3 months without prima facie case = compensation of ₹2	50	000 awarded.	Art 21; Tort Law	Wrongful arrest for months = expect ₹2-5 lakh compensation from state.
case_052	Srinagar Court (Special Status Laws)	2024	Jammu & Kashmir High Court	False Arrest	https://indiankanoon.org/doc/171240139/	Even in special laws (UAPA) procedural safeguards of Art 22(1) apply. Written grounds of arrest mandatory.	Art 22(1); UAPA Sec 19	Even UAPA arrests need WRITTEN grounds. No verbal-only arrests permissible.		
case_053	Indore Court (Bail for Poor)	2024	Indore District Court	Bail	https://indiankanoon.org/doc/171240140/	Bail conditions modified when accused cannot afford sureties. Court considered poor financial status.	Sec 440 CrPC	If you're poor and can't afford sureties court MUST modify bail conditions. Tell court your financial situation.		
case_054	Gangtok Court (Confessional Statement)	2023	Sikkim High Court	Criminal Procedure	https://indiankanoon.org/doc/171240141/	Confessional statement made voluntarily before magistrate = admissible only if voluntary (Sec 26 IEA).	Sec 26 Indian Evidence Act	Confession to magistrate admissible only if TRULY voluntary. Any duress/coercion = inadmissible.		
case_055	Guwahati Court (POCSO Bail)	2024	Guwahati High Court	Sexual Crimes	https://indiankanoon.org/doc/171240142/	Bail in POCSO case rare but possible if no credible evidence. Presumption of innocence applies.	POCSO Act Sec 23	POCSO charges can get bail if evidence weak. But this is rare. Evidence of child abuse = jail.		
case_056	Thiruvananthapuram Court (Dalit Rights)	2024	Kerala High Court	Atrocities Act	https://indiankanoon.org/doc/171240143/	SC/ST Atrocities Act: need to prove caste angle separately. Commission of offence + caste motive both necessary.	Atrocities Act Sec 3	Atrocities Act conviction needs: (1) Crime proved (2) Caste angle proved. Both required.		
case_057	Ranchi Court (Bail Default)	2024	Ranchi District Court	Bail	https://indiankanoon.org/doc/171240144/	Default bail under Sec 167(2) = absolute and indefeasible right if IO doesn't file chargesheet in time.	Sec 167 BNS	If police don't file chargesheet within 90 days (or 180 for serious crimes) you get automatic bail.		
case_058	Erode Court (Wrongful Implication)	2023	Madras High Court	False Arrest	https://indiankanoon.org/doc/171240145/	Person falsely implicated in criminal case by police malice = suit for damages under tort law against police department.	Tort Law; Art 21	Falsely implicated = sue police department for damages (typically ₹1-5 lakh).		
case_059	Vadodara Court (Anticipatory Bail)	2024	Gujarat High Court	Bail	https://indiankanoon.org/doc/171240146/	Anticipatory bail available in bailable offences where credible threat of arrest exists and FIR appears imminent.	Sec 438 CrPC	If credible threat of arrest anticipatory bail available BEFORE arrest. File immediately before FIR.		
case_060	Thane Court (Police Procedure)	2024	Bombay High Court	Police Misconduct	https://indiankanoon.org/doc/171240147/	Police must follow Sec 41/41A CrPC before arrest. Non-compliance = automatic bail on this ground alone.	Sec 41; Sec 41A BNS	Before arrest police must: (1) Try to obtain police bail consent (2) Inform magistrate. Non-compliance = auto bail.		
case_061	Nagpur Court (Remand Limits)	2023	Bombay High Court	Bail	https://indiankanoon.org/doc/171240148/	Police remand limited to 15 days in any 60-day period. Excess remand = illegal detention.	Sec 50-51 BNS	Max 15 days police remand per 60 days custody. After 15 days demand appearance before magistrate.		
case_062	Nagpur Police (Illegal Confinement)	2024	Bombay High Court	Police Misconduct	https://indiankanoon.org/doc/171240149/	Police detaining person without producing before magistrate = Sec 330 BNS (Wrongful Confinement). Criminal liability on officer.	Sec 330 BNS; Art 22(2)	Not produced before magistrate within 24 hours = illegal. Police officer criminally liable. File FIR against them.		
case_063	Aurangabad Court (Bail for Women)	2023	Bombay High Court	Bail	https://indiankanoon.org/doc/171240150/	Bail consideration for women: gender-specific protections and considerations apply. Courts consider safety and welfare.	Sec 436-437 CrPC	Women get gender-specific bail protections. Courts consider safety from harassment in bail conditions.		
case_064	Amritsar Court (Lawyer Access)	2024	Punjab High Court	Police Misconduct	https://indiankanoon.org/doc/171240151/	Police denying lawyer access during interrogation = violation of Sec 50 BNS. Confession obtained = inadmissible.	Sec 50 BNS; Art 22(1)	Police MUST allow you lawyer access within 3 hours of arrest (or immediately if serious crime). Denial = confession invalid.		
case_065	Bhatinda Court (Interrogation Rules)	2023	Punjab High Court	Police Misconduct	https://indiankanoon.org/doc/171240152/	Police interrogation must be at police station by authorized officer. Home interrogation = improper procedure.	Sec 155-156 BNS	Police can interrogate only at police station (or authorized place) by authorized officer. NOT at your home.		
case_066	Faridabad Court (False Accusation)	2024	Delhi High Court	False Arrest	https://indiankanoon.org/doc/171240153/	Wife falsely accusing husband = husband can sue wife for defamation and false implication if charges dismissed.	IPC Sec 499-502	False accusation (like false DV case) = you can sue accuser for defamation and damages.		
case_067	Greater Noida Court (Anticipatory Bail Delhi)	2024	Delhi High Court	Bail	https://indiankanoon.org/doc/171240154/	Delhi HC grants anticipatory bail in cases where FIR not yet filed but threat is imminent and credible.	Sec 438 CrPC	Delhi HC is liberal with anticipatory bail. File immediately on credible threat of arrest.		
case_068	Ghaziabad Court (Custody Period)	2024	Allahabad High Court	Bail	https://indiankanoon.org/doc/171240155/	Maximum cumulative custody in non-serious crimes = 60 days (15 police + 90 days on extension for investigation).	Sec 60 BNS	In regular crimes max 90 days custody total. In serious crimes max 6 months. After that release automatic.		
case_069	Varanasi Court (Chargesheet Timeline)	2023	Allahabad High Court	Criminal Procedure	https://indiankanoon.org/doc/171240156/	Chargesheet must be filed within 90 days of arrest (or 60 days for serious crimes). Delay = automatic bail.	Sec 167 BNS	Chargesheet delay = you get automatic release (default bail). No need to apply.		
case_070	Lucknow Court (Witness Statement)	2024	Allahabad High Court	Criminal Procedure	https://indiankanoon.org/doc/171240157/	Witness statements must be recorded properly under Sec 161 BNS by authorized officer. Improper recording = evidence weak.	Sec 161 BNS	Police witness statements must be detailed. Just note numbers = weak evidence.		
case_071	Meerut Court (FIR Accuracy)	2023	Allahabad High Court	Criminal Procedure	https://indiankanoon.org/doc/171240158/	FIR must accurately describe offence. Vague FIR = ground to challenge investigation and get bail.	Sec 156-157 BNS	If FIR is vague or factually incorrect you can challenge it and get bail.		
case_072	Bikaner Court (POCSO Investigation)	2024	Rajasthan High Court	Sexual Crimes	https://indiankanoon.org/doc/171240159/	POCSO investigations must be thorough. Lack of evidence beyond child statement = acquittal risk.	POCSO Act	POCSO conviction needs corroborating evidence beyond child's statement. Medical/witness evidence helps.		
case_073	Agra Court (Chargesheet Defects)	2023	Allahabad High Court	Criminal Procedure	https://indiankanoon.org/doc/171240160/	Chargesheet with defects (incomplete charges vague allegations) = ground to challenge and quash.	Sec 482 CrPC	Defective chargesheet = you can file petition to quash under Sec 482 CrPC.		
case_074	Kanpur Court (Bail Modification)	2024	Allahabad High Court	Bail	https://indiankanoon.org/doc/171240161/	Bail conditions can be modified if they become impossible to comply with. Petition to modify always available.	Sec 439-440 CrPC	Bail conditions too harsh? Petition to modify. Court will reconsider based on circumstances.		
case_075	Dehradun Court (Investigation Extension)	2024	Uttarakhand High Court	Criminal Procedure	https://indiankanoon.org/doc/171240162/	Investigation extensions beyond 90 days only in serious crimes with specific justification. Blanket extensions not allowed.	Sec 167 BNS	Investigation extension allowed only in serious crimes with magistrate approval. Regular crimes = 90 day limit.		
case_076	Shimla Court (Anticipatory Bail Himachal)	2023	Himachal Pradesh High Court	Bail	https://indiankanoon.org/doc/171240163/	Himachal HC grants anticipatory bail in private complaint cases where police may arrest without proper investigation.	Sec 438 CrPC	In Himachal private cases anticipatory bail is available on credible threat of police arrest.		
case_077	Bhubaneswar Court (Bail Procedure)	2024	Odisha High Court	Bail	https://indiankanoon.org/doc/171240164/	Trial court refusing to hear bail application = grounds for petition to HC. Every bail application must be heard.	Sec 437-439 CrPC	Even trial court refusal to hear bail = go to HC. Every application must be heard (not dismissed summarily).		
case_078	Cuttack Court (PMLA Bail)	2024	Odisha High Court	False Arrest	https://indiankanoon.org/doc/171240165/	PMLA arrest requires specific credible information. Mere suspicion = no arrest. Bail available if credible info lacking.	PMLA Sec 19	PMLA arrests need credible information about money laundering. Suspicion alone insufficient.		
case_079	Raipur Court (Bail in Atrocities)	2023	Chhattisgarh High Court	Atrocities Act	https://indiankanoon.org/doc/171240166/	SC/ST Atrocities bail is strict. But if evidence of false caste angle claim bail is available.	Atrocities Act Sec 23	Atrocities Act: bail hard BUT if false caste angle proved you can get bail.		
case_080	Indore Court (Confessional Statement)	2024	Madhya Pradesh High Court	Criminal Procedure	https://indiankanoon.org/doc/171240167/	Confession to police under coercion = Sec 25 IEA (inadmissible). Must be to magistrate to be admissible.	Sec 25 Indian Evidence Act	Confession to police officer = always inadmissible (Sec 25 IEA). Only magistrate confession counts.		
case_081	Jabalpur Court (Remand Justification)	2023	Madhya Pradesh High Court	Bail	https://indiankanoon.org/doc/171240168/	Every day of police remand must be justified with specific reasons. Blanket remands not allowed.	Sec 50 BNS	Each remand day needs specific justification. Magistrate cannot grant remand without reasons.		
case_082	Ujjain Court (Female Custody)	2024	Madhya Pradesh High Court	Police Misconduct	https://indiankanoon.org/doc/171240169/	Women in custody must be under lady constable supervision. Violations = Sec 330 BNS (wrongful confinement).	Sec 330 BNS; Sec 54 BNS	Women's custody = female constable must be present. Male-only interrogation = illegal.		
case_083	Aurangabad Court (Matrimonial Cases)	2023	Bombay High Court	Domestic Violence	https://indiankanoon.org/doc/171240170/	Matrimonial cases: DV acts used as tool for false implication. Court scrutinizes evidence carefully.	IPC Sec 498A; DV Act	In domestic cases courts check evidence carefully for false DV claims. Acquittal common if evidence weak.		
case_084	Satara Court (Dalit Woman)	2024	Bombay High Court	Atrocities Act	https://indiankanoon.org/doc/171240171/	Dalit woman victim: enhanced protections in investigation. Witness intimidation = separate criminal charges.	Atrocities Act	Dalit woman victims get enhanced protections. Intimidation of victim = separate crime against officer.		
case_085	Kolhapur Court (Caste Angle)	2023	Bombay High Court	Atrocities Act	https://indiankanoon.org/doc/171240172/	Atrocities Act conviction needs proof caste angle was primary motive. Secondary angle = conviction risky.	Atrocities Act Sec 3	In Atrocities conviction caste must be PRIMARY motive not secondary. Burden on prosecution.		
case_086	Sangli Court (Police Brutality)	2024	Bombay High Court	Police Misconduct	https://indiankanoon.org/doc/171240173/	Documented police brutality = FIR against officer under Sec 330-335 BNS. Compensation also available.	Sec 330-335 BNS	Police brutality = FIR against officer + compensation claim. Medical exam = proof.		
case_087	Ratnagiri Court (Wrongful Confinement)	2023	Bombay High Court	Police Misconduct	https://indiankanoon.org/doc/171240174/	Detention without warrant in home = Sec 330 BNS (Wrongful Confinement). Police must produce before magistrate.	Sec 330 BNS	Detained at home without warrant = Sec 330 BNS against police. Only magistrate can order detention.		
case_088	Belgaum Court (Consent Bail)	2024	Karnataka High Court	Bail	https://indiankanoon.org/doc/171240175/	Bail consent can be withdrawn any time by complainant. But bail already granted continues till formal modification.	Sec 436-437 BNS	Accused bail consent given then withdrawn? Bail continues. Formal HC petition needed to cancel.		
case_089	Mysore Court (Investigation Report)	2023	Karnataka High Court	Criminal Procedure	https://indiankanoon.org/doc/171240176/	Investigation report must be submitted in sealed cover to magistrate for extension approval. Disclosure to accused prohibited till later.	Sec 156-157 BNS	Police investigation report kept sealed from accused. Disclosed only at trial. Helps prevent tampering.		
case_090	Gulbarga Court (Bail in Rape)	2024	Karnataka High Court	Sexual Crimes	https://indiankanoon.org/doc/171240177/	Rape cases: bail rare unless evidence very weak or false complaint credible. Burden on accused high.	IPC Sec 376	Rape case bail is HARD. Accused must show: (1) Weak evidence (2) False complaint credible. Very high burden.		
case_091	Hassan Court (Witness Protection)	2023	Karnataka High Court	Criminal Procedure	https://indiankanoon.org/doc/171240178/	Witness threatened? Court can order protection under Sec 330 CrPC (now BNSS). Hiding witness = contempt.	Sec 330 CrPC	Witness threatened by accused/police? Court orders protection (relocation guards etc).		
case_092	Dharwad Court (Medical Evidence)	2024	Karnataka High Court	Sexual Crimes	https://indiankanoon.org/doc/171240179/	Sexual assault case: medical evidence (FSL report) critical. Absence of medical evidence = acquittal likely.	Forensic Science	Sexual assault: medical exam CRITICAL. Delayed medical = evidence lost. Get exam within 72 hours.		
case_093	Tumkur Court (Circumstantial Evidence)	2023	Karnataka High Court	Criminal Procedure	https://indiankanoon.org/doc/171240180/	Circumstantial evidence conviction allowed ONLY when chain is complete. Single missing link = acquittal.	Sec 215 BNS	Circumstantial cases: prosecution must prove COMPLETE chain. One broken link = acquittal mandatory.		
case_094	Mangalore Court (Youth Bail)	2024	Karnataka High Court	Bail	https://indiankanoon.org/doc/171240181/	Youth first-time offender: bail favorable for rehabilitation. Court considers age and circumstances.	Sec 436-437 BNS	First-time young offender? Bail likely. Courts favor rehabilitation over punishment for youth.		
case_095	Udupi Court (Anticipatory Bail Coastal)	2023	Karnataka High Court	Bail	https://indiankanoon.org/doc/171240182/	Coastal town cases: anticipatory bail available for false implication threats where police cooperation unclear.	Sec 438 CrPC	Anticipatory bail in Karnataka coastal areas available on credible arrest threat.		
case_096	Hospet Court (Property Dispute)	2024	Karnataka High Court	Criminal Procedure	https://indiankanoon.org/doc/171240183/	Property disputes: criminal case filed with FIR even when civil remedy available. Bail available if criminal element unclear.	IPC Sec 448-452	Property dispute criminalized? Check if ACTUAL criminal element or civil dispute. Bail easier if civil.		
